collection_id,name,level,jurisdiction,homepage,forms_pages,directory_source,verification,notes,missing_from_prior_manifest,registry_scope_note,normalized_source_court,local_documents,local_word_rtf,local_pdfs,discovered_document_urls,acquired_discovered_urls,blocked_urls,failed_urls,reference_only_urls,deferred_reference_urls,not_yet_acquired_urls,coverage_status,logo_status,asset_path,asset_kind,asset_source_page,coverage_limit,asset_background,fallback_text,retained_documents,excluded_documents,prior_observed_acquisition_urls,forms_page_evidence,page_observations,coverage_boundary,homepage_verification,download_policy,restricted_sources,reuse_note,document_links_observed
FB:nywb,United States Bankruptcy Court — New York Western,bankruptcy,Federal,https://www.nywb.uscourts.gov/,"[""https://www.nywb.uscourts.gov/financial-information"",""https://www.nywb.uscourts.gov/new-york-western-trustee-forms"",""https://www.nywb.uscourts.gov/new-york-western-procedural-forms"",""https://www.nywb.uscourts.gov/content/unclaimed-funds-information"",""https://www.nywb.uscourts.gov/instructions-retrieving-copies-case-files-case-documents""]",https://www.uscourts.gov/about-federal-courts/court-role-and-structure/court-website-links,Official directory observed through Firecrawl on 2026-09-12; forms pages from prior source manifest unless otherwise recorded.,,False,94 district entries and 94 bankruptcy jurisdictions are tracked separately; shared websites and territorial bankruptcy jurisdiction do not imply 94 separate bankruptcy courts.,New York Western bankruptcy court,24,0,24,39,24,0,0,0,0,15,English documents available; wider coverage unverified,Logo/seal available,05-Court-and-Judge-Assets/images/5e/5e87b080cfec28295d8f10e025e803cd492133abb30b645e908359f94f6799b6.png,court_seal,https://www.nywb.uscourts.gov/,Statewide source collections do not establish coverage of every county/division/judge; federal shared-site jurisdiction entries are not counts of distinct courts. Counts cover only retained English documents with supported titles. Source-link counts distinguish URLs associated with a retained file from source links without a local copy; source observations do not establish complete coverage.,light,NYWB,24,0,39,,,,,,,,
FB:nceb,United States Bankruptcy Court — North Carolina Eastern,bankruptcy,Federal,https://www.nceb.uscourts.gov/,"[""https://www.nceb.uscourts.gov/forms"",""https://www.nceb.uscourts.gov/local-forms"",""https://www.nceb.uscourts.gov/forms/all-forms"",""https://www.nceb.uscourts.gov/forms/all-forms/recommended_forms""]",https://www.uscourts.gov/about-federal-courts/court-role-and-structure/court-website-links,Official directory observed through Firecrawl on 2026-09-12; forms pages from prior source manifest unless otherwise recorded.,,True,94 district entries and 94 bankruptcy jurisdictions are tracked separately; shared websites and territorial bankruptcy jurisdiction do not imply 94 separate bankruptcy courts.,North Carolina Eastern bankruptcy court,41,10,31,175,41,0,3,0,0,134,English documents available; wider coverage unverified,Text fallback,,,,Statewide source collections do not establish coverage of every county/division/judge; federal shared-site jurisdiction entries are not counts of distinct courts. Counts cover only retained English documents with supported titles. Source-link counts distinguish URLs associated with a retained file from source links without a local copy; source observations do not establish complete coverage.,light,NCEB,41,0,172,"{""https://www.nceb.uscourts.gov/local-forms"":""Official public HTML page fetched on 2026-09-12; TLS verified, robots allowed; HTTP 200"",""https://www.nceb.uscourts.gov/forms"":""Official public HTML page fetched on 2026-09-12; TLS verified, robots allowed; HTTP 200"",""https://www.nceb.uscourts.gov/forms/all-forms/recommended_forms"":""Official public HTML page fetched on 2026-09-12; TLS verified, robots allowed; HTTP 200"",""https://www.nceb.uscourts.gov/forms/all-forms"":""Official public HTML page fetched on 2026-09-12; TLS verified, robots allowed; HTTP 200""}",,,,,,,
FB:ncmb,United States Bankruptcy Court — North Carolina Middle,bankruptcy,Federal,https://www.ncmb.uscourts.gov/,"[""https://www.ncmb.uscourts.gov/forms/all-forms"",""https://www.ncmb.uscourts.gov/forms/forms-table"",""https://www.ncmb.uscourts.gov/bankruptcy-reform-act-2005-0""]",https://www.uscourts.gov/about-federal-courts/court-role-and-structure/court-website-links,Official directory observed through Firecrawl on 2026-09-12; forms pages from prior source manifest unless otherwise recorded.,,False,94 district entries and 94 bankruptcy jurisdictions are tracked separately; shared websites and territorial bankruptcy jurisdiction do not imply 94 separate bankruptcy courts.,North Carolina Middle bankruptcy court,31,10,21,96,31,0,1,0,0,65,English documents available; wider coverage unverified,Logo/seal available,05-Court-and-Judge-Assets/images/5c/5cd305182250dc5f09f64e78084d547a6561ce0deac50ff74f8f6b946e31dafc.png,court_seal,https://www.ncmb.uscourts.gov/,Statewide source collections do not establish coverage of every county/division/judge; federal shared-site jurisdiction entries are not counts of distinct courts. Counts cover only retained English documents with supported titles. Source-link counts distinguish URLs associated with a retained file from source links without a local copy; source observations do not establish complete coverage.,light,NCMB,31,0,95,,,,,,,,
FB:ncwb,United States Bankruptcy Court — North Carolina Western,bankruptcy,Federal,https://www.ncwb.uscourts.gov/,"[""https://www.ncwb.uscourts.gov/forms/all-forms/Local%20Forms"",""https://www.ncwb.uscourts.gov/forms/all-forms/Local%20Forms?page=1"",""https://www.ncwb.uscourts.gov/filing-without-attorney"",""https://www.ncwb.uscourts.gov/lmm-procedures-and-forms"",""https://www.ncwb.uscourts.gov/covid-19-orders-and-information"",""https://www.ncwb.uscourts.gov/voice-case-information-system-vcis"",""https://www.ncwb.uscourts.gov/vendor-informationtin-certification""]",https://www.uscourts.gov/about-federal-courts/court-role-and-structure/court-website-links,Official directory observed through Firecrawl on 2026-09-12; forms pages from prior source manifest unless otherwise recorded.,,False,94 district entries and 94 bankruptcy jurisdictions are tracked separately; shared websites and territorial bankruptcy jurisdiction do not imply 94 separate bankruptcy courts.,North Carolina Western bankruptcy court,5,1,4,63,5,0,1,0,0,58,English documents available; wider coverage unverified,Logo/seal available,05-Court-and-Judge-Assets/images/65/651912c11c1a662f370be92ef291ab0d02a73d4bab76eb4d519f75dda673bc9a.png,court_seal,https://www.ncwb.uscourts.gov/,Statewide source collections do not establish coverage of every county/division/judge; federal shared-site jurisdiction entries are not counts of distinct courts. Counts cover only retained English documents with supported titles. Source-link counts distinguish URLs associated with a retained file from source links without a local copy; source observations do not establish complete coverage.,light,NCWB,5,0,62,,,,,,,,
FB:ndb,United States Bankruptcy Court — North Dakota,bankruptcy,Federal,https://www.ndb.uscourts.gov/,"[""https://www.ndb.uscourts.gov/forms"",""https://www.ndb.uscourts.gov/local-forms"",""https://www.ndb.uscourts.gov/chapter-13-forms-and-documents"",""https://www.ndb.uscourts.gov/important-information-all-vendors-and-contractors""]",https://www.uscourts.gov/about-federal-courts/court-role-and-structure/court-website-links,Official directory observed through Firecrawl on 2026-09-12; forms pages from prior source manifest unless otherwise recorded.,,False,94 district entries and 94 bankruptcy jurisdictions are tracked separately; shared websites and territorial bankruptcy jurisdiction do not imply 94 separate bankruptcy courts.,North Dakota bankruptcy court,22,2,20,34,22,0,0,0,0,12,English documents available; wider coverage unverified,Logo/seal available,05-Court-and-Judge-Assets/images/4b/4b5372eee866f27a9ff9eb17c0c51f808e5a181ad93d7d1d2f8467222a957d08.png,court_logo,https://www.ndb.uscourts.gov/,Statewide source collections do not establish coverage of every county/division/judge; federal shared-site jurisdiction entries are not counts of distinct courts. Counts cover only retained English documents with supported titles. Source-link counts distinguish URLs associated with a retained file from source links without a local copy; source observations do not establish complete coverage.,light,NDB,22,0,34,,,,,,,,
FB:ohnb,United States Bankruptcy Court — Ohio Northern,bankruptcy,Federal,https://www.ohnb.uscourts.gov/,"[""https://www.ohnb.uscourts.gov/content/changes-bankruptcy-forms"",""https://www.ohnb.uscourts.gov/content/bankruptcy-form-instructions-individuals"",""https://www.ohnb.uscourts.gov/local-bankruptcy-forms/bankruptcy-petition-preparers""]",https://www.uscourts.gov/about-federal-courts/court-role-and-structure/court-website-links,Official directory observed through Firecrawl on 2026-09-12; forms pages from prior source manifest unless otherwise recorded.,,False,94 district entries and 94 bankruptcy jurisdictions are tracked separately; shared websites and territorial bankruptcy jurisdiction do not imply 94 separate bankruptcy courts.,Ohio Northern bankruptcy court,1,0,1,9,1,0,1,0,0,8,English documents available; wider coverage unverified,Logo/seal available,05-Court-and-Judge-Assets/images/5e/5ee3ba841b5ef1415e1528626791bd157d7d0d8e9076a12c25a0f29d2dbc386b.png,court_seal,https://www.ohnb.uscourts.gov/,Statewide source collections do not establish coverage of every county/division/judge; federal shared-site jurisdiction entries are not counts of distinct courts. Counts cover only retained English documents with supported titles. Source-link counts distinguish URLs associated with a retained file from source links without a local copy; source observations do not establish complete coverage.,light,OHNB,1,0,8,,,,,,,,
FB:ohsb,United States Bankruptcy Court — Ohio Southern,bankruptcy,Federal,https://www.ohsb.uscourts.gov/,"[""https://www.ohsb.uscourts.gov/local-forms""]",https://www.uscourts.gov/about-federal-courts/court-role-and-structure/court-website-links,Official directory observed through Firecrawl on 2026-09-12; forms pages from prior source manifest unless otherwise recorded.,,False,94 district entries and 94 bankruptcy jurisdictions are tracked separately; shared websites and territorial bankruptcy jurisdiction do not imply 94 separate bankruptcy courts.,Ohio Southern bankruptcy court,0,0,0,55,0,0,0,0,0,55,No verified English documents in the active library,Logo/seal available,05-Court-and-Judge-Assets/images/07/079f46c625b5d7752f9be2c0a4260ae888849674bb5497f8dfbe7f5295f136bb.png,judiciary_logo,https://www.ohsb.uscourts.gov/,Statewide source collections do not establish coverage of every county/division/judge; federal shared-site jurisdiction entries are not counts of distinct courts. Counts cover only retained English documents with supported titles. Source-link counts distinguish URLs associated with a retained file from source links without a local copy; source observations do not establish complete coverage.,light,OHSB,0,0,55,,,,,,,,
FB:okeb,United States Bankruptcy Court — Oklahoma Eastern,bankruptcy,Federal,https://www.okeb.uscourts.gov/,"[""https://www.okeb.uscourts.gov/local-forms-list"",""https://www.okeb.uscourts.gov/transcript-forms"",""https://www.okeb.uscourts.gov/nextgen-information"",""https://www.okeb.uscourts.gov/security-information"",""https://www.okeb.uscourts.gov/content/frcrequestform90"",""https://www.okeb.uscourts.gov/credit-report-information"",""https://www.okeb.uscourts.gov/adversary-proceeding-forms"",""https://www.okeb.uscourts.gov/chapter-13-plan-information-0""]",https://www.uscourts.gov/about-federal-courts/court-role-and-structure/court-website-links,Official directory observed through Firecrawl on 2026-09-12; forms pages from prior source manifest unless otherwise recorded.,,False,94 district entries and 94 bankruptcy jurisdictions are tracked separately; shared websites and territorial bankruptcy jurisdiction do not imply 94 separate bankruptcy courts.,Oklahoma Eastern bankruptcy court,13,4,9,63,13,0,2,0,0,50,English documents available; wider coverage unverified,Logo/seal available,05-Court-and-Judge-Assets/images/75/75e6c900f72e83984e00e54249a0a12d5bab22e5ce2b93f9c8ad70083950b8d9.png,court_seal,https://www.okeb.uscourts.gov/,Statewide source collections do not establish coverage of every county/division/judge; federal shared-site jurisdiction entries are not counts of distinct courts. Counts cover only retained English documents with supported titles. Source-link counts distinguish URLs associated with a retained file from source links without a local copy; source observations do not establish complete coverage.,light,OKEB,13,0,61,,,,,,,,
FB:oknb,United States Bankruptcy Court — Oklahoma Northern,bankruptcy,Federal,https://www.oknb.uscourts.gov/,"[""https://www.oknb.uscourts.gov/attorney-forms"",""https://www.oknb.uscourts.gov/content/NextGenInformation"",""https://www.oknb.uscourts.gov/filing-without-attorney-forms"",""https://www.oknb.uscourts.gov/cmecf-registration-information"",""https://www.oknb.uscourts.gov/forms/local-form-1007-1e-pro-se-disclosure"",""https://www.oknb.uscourts.gov/forms/local-form-1007-1f-payment-advices-certification"",""https://www.oknb.uscourts.gov/forms/local-form-3015-3-pre-confirmation-certification"",""https://www.oknb.uscourts.gov/forms/local-form-3070-1d-order-wage-deduction-pdf-format"",""https://www.oknb.uscourts.gov/forms/local-form-3070-1d-order-wage-deduction-microsoft-word-format"",""https://www.oknb.uscourts.gov/forms/local-form-3015-1-chapter-13-plan-2018-revised-plain-fillable-pdf-format"",""https://www.oknb.uscourts.gov/forms/local-form-4002-1b-affidavit-and-disclosure-domestic-support-obligations"",""https://www.oknb.uscourts.gov/forms/local-form-3015-1-chapter-13-plan-2018-revised-fillable-expandable-pdf-xml-format""]",https://www.uscourts.gov/about-federal-courts/court-role-and-structure/court-website-links,Official directory observed through Firecrawl on 2026-09-12; forms pages from prior source manifest unless otherwise recorded.,,False,94 district entries and 94 bankruptcy jurisdictions are tracked separately; shared websites and territorial bankruptcy jurisdiction do not imply 94 separate bankruptcy courts.,Oklahoma Northern bankruptcy court,8,0,8,35,8,0,0,0,0,27,English documents available; wider coverage unverified,Logo/seal available,05-Court-and-Judge-Assets/images/0f/0fe712e8e754a4eeb897638d0b0608d2c014c139696ed37ef6f0c7e7fc77bc26.png,court_seal,https://www.oknb.uscourts.gov/,Statewide source collections do not establish coverage of every county/division/judge; federal shared-site jurisdiction entries are not counts of distinct courts. Counts cover only retained English documents with supported titles. Source-link counts distinguish URLs associated with a retained file from source links without a local copy; source observations do not establish complete coverage.,light,OKNB,8,0,35,,,,,,,,
FB:okwb,United States Bankruptcy Court — Oklahoma Western,bankruptcy,Federal,https://www.okwb.uscourts.gov/,"[""https://www.okwb.uscourts.gov/forms"",""https://www.okwb.uscourts.gov/nextgen-cmecf"",""https://www.okwb.uscourts.gov/paygov-online-payment"",""https://www.okwb.uscourts.gov/bankruptcy-information"",""https://www.okwb.uscourts.gov/cmecf-case-information"",""https://www.okwb.uscourts.gov/transcript-and-multimedia-order-forms""]",https://www.uscourts.gov/about-federal-courts/court-role-and-structure/court-website-links,Official directory observed through Firecrawl on 2026-09-12; forms pages from prior source manifest unless otherwise recorded.,,False,94 district entries and 94 bankruptcy jurisdictions are tracked separately; shared websites and territorial bankruptcy jurisdiction do not imply 94 separate bankruptcy courts.,Oklahoma Western bankruptcy court,22,1,21,47,22,0,0,0,0,25,English documents available; wider coverage unverified,Logo/seal available,05-Court-and-Judge-Assets/images/f4/f463054e0a7f5cc0f77468c3a7f9dbe14825e4e4014af7753efabd4b52d310f7.png,court_seal,https://www.okwb.uscourts.gov/,Statewide source collections do not establish coverage of every county/division/judge; federal shared-site jurisdiction entries are not counts of distinct courts. Counts cover only retained English documents with supported titles. Source-link counts distinguish URLs associated with a retained file from source links without a local copy; source observations do not establish complete coverage.,light,OKWB,22,0,47,,,,,,,,
